Frame,Total_Brightness,Average_Brightness,Max_Value,Max_X,Max_Y
0,68809591,88.06477874,255,554,108
1,68894536,88.17349415,255,555,108
2,68883192,88.15897572,255,556,108
3,68885221,88.16157251,255,554,109
4,68892303,88.17063628,255,557,108
5,68890756,88.16865638,255,554,111
6,68840337,88.10412848,255,554,108
7,68838286,88.10150355,255,554,108
8,68845941,88.11130067,255,556,108
9,68859909,88.12917737,255,554,108
10,68862564,88.13257533,255,554,108
11,68842558,88.10697099,255,554,108
12,68834841,88.09709452,255,556,108
13,68881001,88.15617161,255,556,108
14,68858495,88.12736769,255,557,108
15,68890765,88.1686679,255,557,108
16,68893275,88.17188028,255,557,108
17,68890578,88.16842857,255,554,111
18,68904907,88.1867673,255,549,114
19,68901760,88.18273966,255,549,114
20,68880698,88.15578382,255,554,111
21,68859684,88.12888941,255,557,109
22,68910392,88.19378718,255,554,108
23,68904520,88.186272,255,555,108
24,68899913,88.18037581,255,554,108
25,68889819,88.16745718,255,548,114
26,68885412,88.16181695,255,556,108
27,68896746,88.17632258,255,554,108
28,68899828,88.18026702,255,556,108
29,68899218,88.17948633,255,556,108
30,68883417,88.15926369,255,554,108
31,68877862,88.15215421,255,554,108
32,68888296,88.16550799,255,587,114
33,68899088,88.17931995,255,554,111
34,68898239,88.17823337,255,554,111
35,68875543,88.14918628,255,555,108
36,68878561,88.15304882,255,554,108
37,68884706,88.16091339,255,554,108
38,68913514,88.19778282,255,556,108
39,68911598,88.19533066,255,556,108
40,68860156,88.12949349,255,554,108
41,68869750,88.14177221,255,554,108
42,68895202,88.17434652,255,554,109
43,68886712,88.16348074,255,554,108
44,68886197,88.16282162,255,554,108
45,68862012,88.13186886,255,554,108
46,68835697,88.09819006,255,553,108
47,68781020,88.02821264,255,553,108
48,68784725,88.03295442,255,553,108
49,68747626,87.9854739,255,551,108
50,68634490,87.84067872,255,547,108
51,68605883,87.80406654,255,545,108
52,68430423,87.57950706,255,526,110
53,68443747,87.59655955,255,527,110
54,68364062,87.49457607,255,528,114
55,68173372,87.25052473,255,522,114
56,68005359,87.03549617,255,524,108
57,68007705,87.03849865,255,524,108
58,67959606,86.97693997,255,521,108
59,67900950,86.90187009,255,521,108
60,67910562,86.91417185,255,521,108
61,67938653,86.95012363,255,521,108
62,67920788,86.92725942,255,520,108
63,67947373,86.96128377,255,520,108
64,67918314,86.92409311,255,521,109
65,67923190,86.93033358,255,521,108
66,67954218,86.97004423,255,519,108
67,67945913,86.95941522,255,520,108
68,67945007,86.95825569,255,520,108
69,67954820,86.97081469,255,520,108
70,67932635,86.9424216,255,520,108
71,67898907,86.89925539,255,520,108
72,67913759,86.91826347,255,520,108
73,67902832,86.90427874,255,518,108
74,67900396,86.90116106,255,518,108
75,67892765,86.89139466,255,518,108
76,67892680,86.89128587,255,516,108
77,67897724,86.89774135,255,516,108
78,67805090,86.77918531,255,513,108
79,67568787,86.47675695,255,507,109
80,67573058,86.48222312,255,506,108
81,67460824,86.33858235,255,504,107
82,67318036,86.15583757,255,501,107
83,67210026,86.01760282,255,496,107
84,67144656,85.93394014,255,492,106
85,66970486,85.71103165,255,487,106
86,66936501,85.66753653,255,484,106
87,66894461,85.61373235,255,483,106
88,66911628,85.63570324,255,483,106
89,66913015,85.63747837,255,483,106
90,66914268,85.639082,255,483,106
91,66864035,85.57479216,255,484,107
92,66864179,85.57497645,255,484,107
93,66849433,85.55610404,255,484,106
94,66890856,85.60911855,255,481,106
95,66909320,85.63274939,255,481,106
96,66945380,85.67890016,255,484,106
97,66939906,85.67189436,255,481,106
98,66912963,85.63741182,255,481,106
99,66848314,85.5546719,255,481,106
100,66746775,85.42471895,255,477,106
101,66746867,85.42483669,255,477,106
102,66688850,85.35058463,255,475,106
103,66489039,85.09485994,255,469,106
104,66440039,85.03214812,255,465,106
105,66236384,84.77150375,255,459,106
106,66185999,84.70701937,255,456,106
107,66128761,84.6337643,255,453,106
108,66041129,84.52160998,255,451,106
109,65966719,84.42637761,255,449,106
110,65970092,84.43069449,255,447,106
111,65969943,84.43050379,255,447,106
112,65936344,84.38750269,255,447,106
113,65951815,84.40730298,255,447,106
114,65965455,84.4247599,255,447,106
115,65968658,84.42885921,255,447,106
116,65977229,84.43982866,255,447,106
117,65988845,84.45469519,255,447,106
118,65983432,84.44776746,255,447,106
119,65968639,84.42883489,255,447,106
120,65974806,84.43672762,255,447,106
121,65944298,84.39768248,255,446,106
122,65898660,84.33927346,255,444,106
123,65867776,84.29974711,255,441,106
124,65805483,84.22002247,255,439,106
125,65660996,84.03510326,255,435,106
126,65607924,83.96717996,255,431,106
127,65542302,83.88319477,255,427,106
128,65410409,83.71439377,255,407,108
129,65418804,83.72513797,255,407,108
130,65335405,83.61840118,255,416,104
131,65330308,83.61187787,255,414,104
132,65331353,83.6132153,255,414,104
133,65353238,83.64122444,255,414,104
134,65350745,83.63803382,255,402,106
135,65352692,83.64052565,255,401,106
136,65380540,83.67616644,255,401,106
137,65353994,83.642192,255,401,106
138,65363686,83.65459614,255,413,104
139,65362401,83.65295155,255,413,104
140,65334443,83.61716998,255,401,106
141,65357207,83.6463041,255,413,104
142,65393799,83.69313574,255,413,104
143,65390164,83.68848355,255,413,104
144,65333626,83.61612436,255,413,104
145,65291977,83.5628206,255,409,104
146,65281406,83.54929148,255,407,104
147,65235955,83.4911218,255,393,106
148,65187155,83.42866595,255,391,106
149,65138262,83.36609108,255,399,104
150,65050397,83.25363856,255,395,104
151,65028714,83.22588795,255,393,104
152,64976078,83.15852266,255,374,104
153,64933419,83.10392627,255,387,104
154,64885129,83.04212314,255,388,104
155,64841920,82.98682284,255,386,104
156,64876111,83.03058161,255,384,104
157,64884211,83.04094825,255,384,104
158,64884485,83.04129893,255,384,104
159,64827437,82.96828702,255,383,104
160,64816856,82.95474511,255,385,104
161,64893781,83.05319625,255,385,104
162,64881977,83.03808911,255,383,104
163,64871529,83.02471741,255,383,104
164,64862153,83.0127177,255,383,104
165,64811527,82.94792488,255,385,104
166,64810128,82.94613439,255,383,104
167,64826692,82.96733354,255,381,104
168,64829388,82.97078397,255,381,104
169,64780093,82.90769461,255,380,105
170,64745049,82.86284415,255,371,110
171,64566535,82.63437606,255,367,104
172,64566340,82.63412649,255,367,104
173,64468438,82.50882829,255,363,104
174,64305474,82.3002616,255,344,106
175,64259068,82.24086967,255,352,105
176,64262242,82.24493186,255,352,105
177,64246610,82.22492551,255,338,104
178,64202790,82.16884324,255,349,103
179,64224367,82.19645819,255,350,105
180,64219860,82.19068998,255,350,105
181,64214484,82.1838096,255,350,104
182,64214842,82.18426778,255,350,104
183,64232590,82.20698226,255,349,103
184,64234257,82.20911574,255,349,103
185,64237447,82.2131984,255,349,103
186,64245239,82.22317086,255,349,104
187,64239625,82.21598588,255,349,104
188,64238909,82.21506952,255,349,104
189,64223579,82.19544968,255,348,104
190,64214872,82.18430618,255,348,104
191,64107655,82.04708633,255,343,104
192,64136260,82.08369595,255,341,103
193,64090279,82.02484796,255,339,104
194,64011073,81.92347751,255,335,103
195,64009099,81.92095112,255,335,103
196,63823116,81.68292396,255,327,103
197,63809125,81.66501782,255,325,102
198,63800015,81.65335854,255,323,102
199,63752596,81.59267014,255,321,103
200,63752789,81.59291715,255,321,103
201,63702609,81.52869513,255,321,102
202,63743938,81.58158935,255,321,102
203,63721910,81.55339719,255,321,102
204,63746126,81.58438962,255,321,102
205,63729204,81.56273229,255,322,104
206,63725233,81.55765007,255,322,104
207,63707488,81.53493944,255,321,102
208,63724764,81.55704983,255,322,102
209,63747558,81.58622234,255,322,104
210,63729448,81.56304457,255,310,102
211,63722272,81.55386049,255,310,102
212,63604512,81.40314737,255,315,102
213,63580166,81.37198855,255,295,102
214,63557694,81.34322815,255,310,102
215,63428503,81.17788526,255,302,102
216,63385821,81.12325943,255,300,102
217,63337921,81.06195543,255,297,102
218,63290937,81.00182376,255,294,102
219,63222622,80.91439198,255,292,102
220,63143630,80.81329542,255,290,102
221,63142506,80.81185688,255,290,102
222,63125504,80.79009716,255,281,102
223,63130861,80.79695323,255,281,102
224,63146140,80.8165078,255,281,102
225,63142494,80.81184153,255,281,102
226,63163826,80.83914292,255,281,102
227,63121790,80.78534387,255,281,102
228,63150513,80.82210451,255,281,102
229,63148004,80.81889341,255,289,102
230,63144306,80.81416058,255,281,102
231,63130999,80.79712985,255,288,102
232,63129349,80.79501812,255,288,102
233,63120579,80.78379399,255,286,102
234,63073244,80.7232131,255,284,102
235,62974210,80.59646613,255,280,102
236,62930428,80.54043248,255,277,102
237,62844585,80.43056779,255,274,102
238,62707126,80.25464323,255,259,102
239,62701655,80.24764127,255,259,102
240,62639261,80.16778737,255,255,102
241,62585041,80.09839483,255,260,102
242,62589501,80.10410289,255,258,102
243,62556957,80.06245201,255,258,100
244,62559008,80.06507694,255,259,101
245,62554633,80.05947767,255,259,101
246,62506219,79.99751584,255,248,102
247,62523778,80.01998843,255,259,102
248,62544839,80.04694299,255,249,102
249,62540392,80.04125157,255,249,102
250,62536165,80.03584172,255,259,102
251,62548470,80.05159006,255,259,100
252,62559155,80.06526508,255,259,101
253,62537961,80.0381403,255,249,102
254,62547567,80.05043438,255,248,102
255,62542125,80.04346952,255,248,102
256,62505579,79.99669675,255,254,102
257,62450632,79.92637377,255,252,102
258,62352433,79.80069546,255,248,102
259,62347190,79.7939853,255,248,102
260,62254710,79.67562635,255,245,100
261,62127698,79.51307221,255,237,100
262,62038642,79.39909541,255,231,100
263,62049800,79.41337579,255,231,100
264,62033224,79.39216128,255,226,100
265,61992135,79.33957423,255,226,100
266,61998937,79.34827965,255,226,100
267,61997419,79.34633686,255,226,101
268,62028698,79.38636876,255,227,101
269,62008491,79.36050717,255,226,100
270,62032002,79.39059732,255,227,101
271,62023122,79.37923241,255,227,101
272,62028828,79.38653513,255,226,100
273,62023563,79.37979681,255,226,100
274,62027607,79.38497246,255,226,100
275,62016248,79.37043484,255,227,101
276,62001081,79.35102361,255,223,101
277,61996301,79.34490601,255,223,101
278,61938393,79.27079345,255,250,106
279,61870954,79.18448279,255,242,106
280,61869305,79.18237235,255,242,106
281,61761887,79.04489526,255,237,106
282,61698434,78.96368602,255,232,106
283,61704671,78.97166834,255,231,106
284,61665163,78.9211047,255,228,106
285,61659040,78.91326828,255,228,106
286,61653419,78.90607434,255,227,105
287,61653722,78.90646213,255,227,105
288,61670341,78.92773168,255,227,105
289,61611379,78.85227017,255,226,106
290,61635338,78.88293368,255,226,106
291,61659917,78.9143907,255,227,104
292,61661106,78.91591242,255,227,104
293,61623251,78.86746434,255,228,106
294,61614739,78.85657041,255,228,106
295,61656941,78.91058191,255,227,106
296,61651266,78.90331886,255,227,106
297,61651092,78.90309617,255,224,106
298,61642516,78.89212032,255,222,106
299,61640104,78.88903337,255,223,104
300,61637258,78.88539096,255,223,104
301,61472276,78.67424157,255,214,106
302,61472580,78.67463064,255,214,106
303,61364991,78.5369347,255,207,105
304,61298346,78.45164023,255,205,106
305,61320499,78.47999237,255,204,110
306,61278918,78.42677564,255,201,106
307,61226905,78.36020769,255,196,106
308,61227273,78.36067867,255,195,106
309,61237177,78.37335413,255,196,106
310,61239164,78.37589716,255,196,106
311,61241695,78.37913642,255,197,104
312,61233513,78.36866483,255,197,104
313,61281499,78.43007889,255,196,104
314,61267660,78.41236728,255,197,104
315,61252834,78.39339248,255,196,106
316,61251277,78.39139978,255,196,106
317,61264011,78.40769717,255,197,104
318,61295033,78.44740015,255,194,106
319,61245226,78.38365551,255,194,104
320,61282195,78.43096965,255,194,104
321,61283093,78.43211894,255,194,104
322,61089473,78.1843177,255,190,106
323,61107735,78.20769,255,186,106
324,61029667,78.10777601,255,181,106
325,61038796,78.1194596,255,181,106
326,61038841,78.1195172,255,180,106
327,60855626,77.88503261,255,171,106
328,60811968,77.82915767,255,167,106
329,60817418,77.83613275,255,167,106
330,60815766,77.83401847,255,165,106
331,60807165,77.82301063,255,165,106
332,60803318,77.81808711,255,165,108
333,60838243,77.86278527,255,163,107
334,60871745,77.90566224,255,165,106
335,60863662,77.89531735,255,165,106
336,60832866,77.85590361,255,165,106
337,60787161,77.79740885,255,163,108
338,60848269,77.87561688,255,165,106
339,60854368,77.88342258,255,165,106
340,60851816,77.88015645,255,165,106
341,60804618,77.81975089,255,165,106
342,60761960,77.76515578,255,163,108
343,60778346,77.78612712,255,158,108
344,60782196,77.79105448,255,158,108
345,60763260,77.76681956,255,155,106
346,60670816,77.64850669,255,148,109
347,60626844,77.59222988,255,126,147
348,60634534,77.60207179,255,126,147
349,60599593,77.55735315,255,131,152
350,60589585,77.54454458,255,128,151
351,60592436,77.54819339,255,125,152
352,60575518,77.52654117,255,125,151
353,60574944,77.52580655,255,124,151
354,60550172,77.49410253,255,125,151
355,60567404,77.51615661,255,125,151
356,60621276,77.58510377,255,125,151
357,60570979,77.52073201,255,125,151
358,60632682,77.59970154,255,125,151
359,60571105,77.52089327,255,124,152
360,60590303,77.5454635,255,125,151
361,60605288,77.5646418,255,126,151
362,60560592,77.50743839,255,124,151
363,60566718,77.51527865,255,124,151
364,60528966,77.46696239,255,121,153
365,60543171,77.48514242,255,117,153
366,60487679,77.41412193,255,123,208
367,60391539,77.2910788,255,122,209
368,60466458,77.3869626,255,166,209
369,60390361,77.28957115,255,160,209
370,60396315,77.29719128,255,160,209
371,60418601,77.32571363,255,155,209
372,60377725,77.27339919,255,154,209
373,60376905,77.27234972,255,154,209
374,60435529,77.34737865,255,331,358
375,60405158,77.30850884,255,154,209
376,60417860,77.32476528,255,154,209
377,60343445,77.22952651,255,154,210
378,60378584,77.27449856,255,156,210
379,60375789,77.27092143,255,154,210
