Frame,Total_Brightness,Average_Brightness,Max_Value,Max_X,Max_Y
0,68226441,75.49845189,255,769,253
1,68208804,75.47893502,255,769,253
2,68187653,75.45552961,255,776,253
3,68230174,75.50258277,255,792,253
4,68213933,75.4846107,255,769,253
5,68211163,75.48154546,255,766,253
6,68179061,75.44602182,255,769,253
7,68186558,75.4543179,255,858,253
8,68187040,75.45485127,255,867,253
9,68220261,75.49161318,255,787,253
10,68213840,75.48450779,255,773,253
11,68197761,75.46671499,255,769,253
12,68197166,75.46605657,255,778,253
13,68189632,75.45771955,255,798,253
14,68214339,75.48505998,255,775,253
15,68200251,75.46947039,255,776,253
16,68209369,75.47956024,255,776,253
17,68204549,75.4742265,255,775,253
18,68235193,75.50813673,255,775,253
19,68224765,75.49659725,255,775,253
20,68192747,75.46116656,255,773,253
21,68215605,75.48646092,255,765,253
22,68235125,75.50806148,255,765,253
23,68196844,75.46570025,255,766,253
24,68184560,75.45210694,255,766,253
25,68237273,75.51043843,255,775,253
26,68261309,75.53703634,255,785,253
27,68261314,75.53704187,255,785,253
28,68214730,75.48549265,255,827,253
29,67160579,74.31898349,255,779,253
30,68237425,75.51060663,255,779,253
31,68205149,75.47489045,255,776,253
32,68218114,75.48923734,255,776,253
33,68205554,75.47533862,255,774,253
34,68225213,75.497093,255,771,253
35,68231369,75.50390514,255,825,253
36,68231535,75.50408884,255,825,253
37,68160317,75.42527997,255,820,253
38,68153875,75.41815134,255,795,253
39,68155682,75.42015094,255,795,253
40,68128053,75.38957706,255,769,253
41,68130940,75.39277178,255,789,253
42,68144803,75.40811238,255,783,253
43,68140430,75.40327328,255,778,253
44,68115514,75.37570158,255,779,253
45,68113811,75.37381706,255,784,253
46,68112021,75.37183627,255,783,254
47,68103869,75.36281538,255,772,254
48,68111583,75.37135158,255,784,254
49,68138769,75.40143524,255,776,253
50,68126591,75.38795923,255,796,255
51,68043776,75.29631728,255,766,253
52,68049674,75.30284393,255,763,253
53,68033277,75.28469923,255,769,253
54,68041179,75.29344348,255,784,253
55,68044385,75.29699119,255,786,253
56,68049231,75.30235371,255,786,253
57,68017530,75.26727381,255,774,253
58,68048112,75.30111544,255,775,253
59,68052011,75.30543002,255,765,253
60,68056754,75.31067856,255,761,253
61,68043135,75.29560796,255,766,253
62,68019410,75.2693542,255,769,253
63,68016816,75.26648371,255,795,253
64,68004454,75.25280409,255,792,253
65,68002505,75.25064735,255,789,253
66,67985291,75.23159857,255,814,253
67,67982958,75.22901691,255,861,253
68,57140018,63.23036694,255,809,253
69,67937021,75.17818365,255,780,253
70,67955780,75.1989421,255,808,253
71,67961659,75.20544772,255,778,253
72,67995756,75.243179,255,782,253
73,67995984,75.2434313,255,782,253
74,67984265,75.23046322,255,779,253
75,67945323,75.18737053,255,777,253
76,67930511,75.17097977,255,776,253
77,67924764,75.16462022,255,770,253
78,67899721,75.13690798,255,793,253
79,67900284,75.13753098,255,793,253
80,67889293,75.12536849,255,795,253
81,67900080,75.13730524,255,795,253
82,67935934,75.17698079,255,853,253
83,67896370,75.13319981,255,795,253
84,67877475,75.11229086,255,790,251
85,67864674,75.09812544,255,801,252
86,67929190,75.16951797,255,814,253
87,67949322,75.19179577,255,784,256
88,67909508,75.14773814,255,785,253
89,67906260,75.14414394,255,781,253
90,67862201,75.09538885,255,775,252
91,67861682,75.09481454,255,771,252
92,67856534,75.08911783,255,792,251
93,67846362,75.07786163,255,774,251
94,67883740,75.11922362,255,772,251
95,67905834,75.14367254,255,787,254
96,67942460,75.18420237,255,827,253
97,67903233,75.14079431,255,780,252
98,67871460,75.10563474,255,768,251
99,67870413,75.10447614,255,768,251
100,67830584,75.06040191,255,766,251
101,67885606,75.12128851,255,867,253
102,67890507,75.12671189,255,795,253
103,67897442,75.13438607,255,774,252
104,67951644,75.19436526,255,775,252
105,67939302,75.18070777,255,776,252
106,67941591,75.18324075,255,776,252
107,67900814,75.13811748,255,778,251
108,67924257,75.16405918,255,776,251
109,67935509,75.17651049,255,811,251
110,67950799,75.1934302,255,779,251
111,67995868,75.24330294,255,785,252
112,67922304,75.16189802,255,775,251
113,67922188,75.16176965,255,784,250
114,67954329,75.19733645,255,770,251
115,68028369,75.2792681,255,787,251
116,68030235,75.28133299,255,787,251
117,68054489,75.30817214,255,783,251
118,68072695,75.32831865,255,769,251
119,68025558,75.27615749,255,776,251
120,68051840,75.30524079,255,791,251
121,68111654,75.37143015,255,784,251
122,68108005,75.36739222,255,784,251
123,68065579,75.32044418,255,782,251
124,68062248,75.31675814,255,823,251
125,68044330,75.29693033,255,777,251
126,68093211,75.35102138,255,774,251
127,68145041,75.40837575,255,770,251
128,68133991,75.39614797,255,785,251
129,68210224,75.48050637,255,781,251
130,68236709,75.50981431,255,777,251
131,68245669,75.51972933,255,771,251
132,68188330,75.45627877,255,788,251
133,68224054,75.49581046,255,770,251
134,68235426,75.50839456,255,766,251
135,68235149,75.50808804,255,766,251
136,68235212,75.50815775,255,769,251
137,68159836,75.4247477,255,776,249
138,68273063,75.55004316,255,780,251
139,68314982,75.59643015,255,784,251
140,68312516,75.59370131,255,868,251
141,68322173,75.60438762,255,771,251
142,68324771,75.60726253,255,771,251
143,68298438,75.57812279,255,780,251
144,65359483,72.32591515,255,821,250
145,68288811,75.56746968,255,805,249
146,68297019,75.57655254,255,770,250
147,68342241,75.62659459,255,777,251
148,68287744,75.56628895,255,775,249
149,68295577,75.57495684,255,773,249
150,68311073,75.59210451,255,778,249
151,68377591,75.66571242,255,857,251
152,68377613,75.66573677,255,857,251
153,68346818,75.63165944,255,861,250
154,68362629,75.64915567,255,858,288
155,68376708,75.6647353,255,779,249
156,68375335,75.66321596,255,823,249
157,68370790,75.65818653,255,823,249
158,68347912,75.63287004,255,784,249
159,68390208,75.67967422,255,849,251
160,68436573,75.7309811,255,778,251
161,68447158,75.74269432,255,778,251
162,68466060,75.76361101,255,776,251
163,68402925,75.69374668,255,779,249
164,68396877,75.68705405,255,770,249
165,68409940,75.70150938,255,787,249
166,68440698,75.73554577,255,865,251
167,68438875,75.73352846,255,865,251
168,68415325,75.70746835,255,848,251
169,68403241,75.69409636,255,788,249
170,68414640,75.70671034,255,846,249
171,68425727,75.71897906,255,802,249
172,68436587,75.73099659,255,863,249
173,68458417,75.75515337,255,782,251
174,68466964,75.76461137,255,849,251
175,68442686,75.73774566,255,856,249
176,68429470,75.72312102,255,787,249
177,68428221,75.72173889,255,806,249
178,68393657,75.68349084,255,816,249
179,68388191,75.67744224,255,780,249
180,68398797,75.68917869,255,779,249
181,68412016,75.70380666,255,845,249
182,68420534,75.71323256,255,861,249
183,68393269,75.68306148,255,787,249
184,68424959,75.71812921,255,784,249
185,68412479,75.70431901,255,813,249
186,68432701,75.7266964,255,784,249
187,68407640,75.69896424,255,792,249
188,68395697,75.68574827,255,810,249
189,68377644,75.66577107,255,856,249
190,68366870,75.65384871,255,793,247
191,68348233,75.63322526,255,784,249
192,68357003,75.64293002,255,784,249
193,68331436,75.61463792,255,796,249
194,68347077,75.63194604,255,796,249
195,68321048,75.60314271,255,770,249
196,68374918,75.66275451,255,777,249
197,68394060,75.68393679,255,777,249
198,68409809,75.70136442,255,775,249
199,68395996,75.68607914,255,777,249
200,68349457,75.63457972,255,800,247
201,68351950,75.63733844,255,800,247
202,68299019,75.57876571,255,776,247
203,68309920,75.59082861,255,777,247
204,68345718,75.63044219,255,770,249
205,68342131,75.62647287,255,778,249
206,68348339,75.63334255,255,778,249
207,68334881,75.61845012,255,775,249
208,68304096,75.58438385,255,776,247
209,68331358,75.61455161,255,775,247
210,68342111,75.62645073,255,779,247
211,68342017,75.62634672,255,779,247
212,68365713,75.65256839,255,780,249
213,68345870,75.63061039,255,776,249
214,68366402,75.65333083,255,777,249
215,68331710,75.61494113,255,772,247
216,68294284,75.57352603,255,794,247
217,68295833,75.57524013,255,794,247
218,68270626,75.54734641,255,768,247
219,68295565,75.57494356,255,795,247
220,68370986,75.65840342,255,769,249
221,68322618,75.60488005,255,770,247
222,68337494,75.62134163,255,851,247
223,68335515,75.61915169,255,851,247
224,68286131,75.56450403,255,756,247
225,68305811,75.58628165,255,784,247
226,68322840,75.60512571,255,769,247
227,68323948,75.60635181,255,770,247
228,68331315,75.61450403,255,766,247
229,68360708,75.64702992,255,763,247
230,68368030,75.65513235,255,769,247
231,68338932,75.6229329,255,784,247
232,68339829,75.6239255,255,784,247
233,68314186,75.59554931,255,770,245
234,68334987,75.61856741,255,768,247
235,68412303,75.70412425,255,778,248
236,68385150,75.67407711,255,762,247
237,68388089,75.67732936,255,763,247
238,68347444,75.63235216,255,768,247
239,68346795,75.63163399,255,851,247
240,68386943,75.67606122,255,766,248
241,68398597,75.68895737,255,767,247
242,68395717,75.68577041,255,767,247
243,68415333,75.7074772,255,768,247
244,68409822,75.70137881,255,865,247
245,68441742,75.73670104,255,795,247
246,68425462,75.71868582,255,769,246
247,68424162,75.71724726,255,851,247
248,68467614,75.76533065,255,768,247
249,68469113,75.76698942,255,768,247
250,68429917,75.72361566,255,760,247
251,68412856,75.70473619,255,779,246
252,68413316,75.70524522,255,779,246
253,68464765,75.76217798,255,807,245
254,68499372,75.80047362,255,779,246
255,68522918,75.8265293,255,861,247
256,68508167,75.81020605,255,786,245
257,68531199,75.83569294,255,785,247
258,68516359,75.8192712,255,769,247
259,68521361,75.82480635,255,787,247
260,68529281,75.83357051,255,770,245
261,68502150,75.80354772,255,768,245
262,68497453,75.79835008,255,765,245
263,68560254,75.86784481,255,819,248
264,68559896,75.86744865,255,819,248
265,68577928,75.88740262,255,784,247
266,68602768,75.91489023,255,832,247
267,68568981,75.87750199,255,738,283
268,68606738,75.91928337,255,778,245
269,65077883,72.01430042,255,820,245
270,68604622,75.91694184,255,771,245
271,68623095,75.93738381,255,771,245
272,68576037,75.88531007,255,784,245
